credential_id,exam,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
comptia-a-plus,core1,1.0,Mobile Devices,13,1.1,"Given a scenario, monitor mobile device hardware and use appropriate replacement techniques"
comptia-a-plus,core1,1.0,Mobile Devices,13,1.2,"Compare and contrast accessories and connectivity options for mobile devices"
comptia-a-plus,core1,1.0,Mobile Devices,13,1.3,"Given a scenario, configure basic mobile device network connectivity and provide application support"
comptia-a-plus,core1,2.0,Networking,23,2.1,"Compare and contrast TCP and UDP ports, protocols, and their purposes"
comptia-a-plus,core1,2.0,Networking,23,2.2,"Explain wireless networking technologies"
comptia-a-plus,core1,2.0,Networking,23,2.3,"Summarize services provided by networked hosts"
comptia-a-plus,core1,2.0,Networking,23,2.4,"Explain common network configuration concepts"
comptia-a-plus,core1,2.0,Networking,23,2.5,"Compare and contrast common networking hardware devices"
comptia-a-plus,core1,2.0,Networking,23,2.6,"Given a scenario, configure basic wired/wireless SOHO networks"
comptia-a-plus,core1,2.0,Networking,23,2.7,"Compare and contrast internet connection types, network types, and their characteristics"
comptia-a-plus,core1,2.0,Networking,23,2.8,"Explain networking tools and their purposes"
comptia-a-plus,core1,3.0,Hardware,25,3.1,"Compare and contrast display components and attributes"
comptia-a-plus,core1,3.0,Hardware,25,3.2,"Summarize basic cable types and their connectors, features, and purposes"
comptia-a-plus,core1,3.0,Hardware,25,3.3,"Compare and contrast RAM characteristics"
comptia-a-plus,core1,3.0,Hardware,25,3.4,"Compare and contrast storage devices"
comptia-a-plus,core1,3.0,Hardware,25,3.5,"Given a scenario, install and configure motherboards, CPUs, and add-on cards"
comptia-a-plus,core1,3.0,Hardware,25,3.6,"Given a scenario, install the appropriate power supply"
comptia-a-plus,core1,3.0,Hardware,25,3.7,"Given a scenario, deploy and configure multifunction devices/printers and settings"
comptia-a-plus,core1,3.0,Hardware,25,3.8,"Given a scenario, perform appropriate printer maintenance"
comptia-a-plus,core1,4.0,Virtualization and Cloud Computing,11,4.1,"Explain virtualization concepts"
comptia-a-plus,core1,4.0,Virtualization and Cloud Computing,11,4.2,"Summarize cloud computing concepts"
comptia-a-plus,core1,5.0,Hardware and Network Troubleshooting,28,5.1,"Given a scenario, troubleshoot motherboards, RAM, CPUs, and power"
comptia-a-plus,core1,5.0,Hardware and Network Troubleshooting,28,5.2,"Given a scenario, troubleshoot drive and RAID issues"
comptia-a-plus,core1,5.0,Hardware and Network Troubleshooting,28,5.3,"Given a scenario, troubleshoot video, projector, and display issues"
comptia-a-plus,core1,5.0,Hardware and Network Troubleshooting,28,5.4,"Given a scenario, troubleshoot common mobile device issues"
comptia-a-plus,core1,5.0,Hardware and Network Troubleshooting,28,5.5,"Given a scenario, troubleshoot network issues"
comptia-a-plus,core1,5.0,Hardware and Network Troubleshooting,28,5.6,"Given a scenario, troubleshoot printer issues"
comptia-a-plus,core2,1.0,Operating Systems,28,1.1,"Explain common OS types and their purposes"
comptia-a-plus,core2,1.0,Operating Systems,28,1.2,"Given a scenario, perform OS installations and upgrades in a diverse environment"
comptia-a-plus,core2,1.0,Operating Systems,28,1.3,"Compare and contrast basic features of Microsoft Windows editions"
comptia-a-plus,core2,1.0,Operating Systems,28,1.4,"Given a scenario, use Microsoft Windows OS features and tools"
comptia-a-plus,core2,1.0,Operating Systems,28,1.5,"Given a scenario, use the appropriate Microsoft command-line tools"
comptia-a-plus,core2,1.0,Operating Systems,28,1.6,"Given a scenario, configure Microsoft Windows settings"
comptia-a-plus,core2,1.0,Operating Systems,28,1.7,"Given a scenario, configure Microsoft Windows networking features on a client/desktop"
comptia-a-plus,core2,1.0,Operating Systems,28,1.8,"Explain common features and tools of the macOS/desktop OS"
