credential_id,course_number,course_name,module_number,module_name,objective_statement
google-it-support,1,Technical Support Fundamentals,1,Introduction to IT,Understand the history and evolution of computers and the role of IT Support Specialists
google-it-support,1,Technical Support Fundamentals,1,Introduction to IT,Understand how the binary system works including counting in binary and character encoding
google-it-support,1,Technical Support Fundamentals,1,Introduction to IT,Understand computer architecture overview and abstraction concepts
google-it-support,1,Technical Support Fundamentals,2,Hardware,Understand what each computer component does (CPU RAM motherboards storage power supplies peripherals) and how they work together
google-it-support,1,Technical Support Fundamentals,2,Hardware,Build a computer from scratch including understanding BIOS functionality
google-it-support,1,Technical Support Fundamentals,2,Hardware,Identify mobile device components and perform basic repairs
google-it-support,1,Technical Support Fundamentals,3,Operating System,Understand OS components including file systems process management memory management I/O management and the boot process
google-it-support,1,Technical Support Fundamentals,3,Operating System,Choose and install an operating system on a computer
google-it-support,1,Technical Support Fundamentals,3,Operating System,Work with virtual machines and understand user space interactions and logs
google-it-support,1,Technical Support Fundamentals,4,Networking,Understand what the Internet is how it works and the impact it has in the modern world
google-it-support,1,Technical Support Fundamentals,4,Networking,Understand networking fundamentals hardware and TCP/IP protocols
google-it-support,1,Technical Support Fundamentals,4,Networking,Understand Internet security privacy concerns and the Internet of Things
google-it-support,1,Technical Support Fundamentals,5,Software,Understand how applications are created and how they work under the hood
google-it-support,1,Technical Support Fundamentals,5,Software,Manage software across platforms including installation updating removal and versioning
google-it-support,1,Technical Support Fundamentals,5,Software,Understand Windows and Linux software management and automation
google-it-support,1,Technical Support Fundamentals,6,Troubleshooting,Utilize common problem-solving methodologies and soft skills in IT support
google-it-support,1,Technical Support Fundamentals,6,Troubleshooting,Develop customer service skills including handling difficult situations
google-it-support,1,Technical Support Fundamentals,6,Troubleshooting,Create and use technical documentation and ticketing systems
google-it-support,2,The Bits and Bytes of Computer Networking,1,Introduction to Networking,Understand the TCP/IP five-layer and OSI networking models
google-it-support,2,The Bits and Bytes of Computer Networking,1,Introduction to Networking,Identify networking devices including cables hubs switches routers servers and clients
google-it-support,2,The Bits and Bytes of Computer Networking,1,Introduction to Networking,Understand physical layer and data link layer concepts including Ethernet and MAC addresses
google-it-support,2,The Bits and Bytes of Computer Networking,2,The Network Layer,Understand IP addressing scheme and address classes including subnetting and subnet masks
google-it-support,2,The Bits and Bytes of Computer Networking,2,The Network Layer,Perform binary mathematics for subnet calculations and understand CIDR notation
google-it-support,2,The Bits and Bytes of Computer Networking,2,The Network Layer,Understand routing fundamentals including ARP routing tables and gateway protocols
google-it-support,2,The Bits and Bytes of Computer Networking,3,The Transport and Application Layers,Understand TCP ports sockets segment structure and the three-way handshake
google-it-support,2,The Bits and Bytes of Computer Networking,3,The Transport and Application Layers,Differentiate between connection-oriented (TCP) and connectionless (UDP) protocols
google-it-support,2,The Bits and Bytes of Computer Networking,3,The Transport and Application Layers,Understand firewalls and application layer protocols
google-it-support,2,The Bits and Bytes of Computer Networking,4,Networking Services,Understand DNS functionality including name resolution and resource record types
google-it-support,2,The Bits and Bytes of Computer Networking,4,Networking Services,Understand DHCP overview and operation
google-it-support,2,The Bits and Bytes of Computer Networking,4,Networking Services,Configure and understand NAT VPNs and proxy services
google-it-support,2,The Bits and Bytes of Computer Networking,5,Connecting to the Internet,Understand broadband technologies including DSL cable fiber-optic and T-carrier systems
google-it-support,2,The Bits and Bytes of Computer Networking,5,Connecting to the Internet,Understand WAN technologies and point-to-point VPNs
google-it-support,2,The Bits and Bytes of Computer Networking,5,Connecting to the Internet,Configure wireless networking including security channels and cellular networks
google-it-support,2,The Bits and Bytes of Computer Networking,6,Troubleshooting and the Future of Networking,Use network troubleshooting tools including ping traceroute and port connectivity testing
google-it-support,2,The Bits and Bytes of Computer Networking,6,Troubleshooting and the Future of Networking,Understand cloud computing fundamentals including Everything as a Service models
google-it-support,2,The Bits and Bytes of Computer Networking,6,Troubleshooting and the Future of Networking,Understand IPv6 addressing subnetting and IPv4/IPv6 interoperability
google-it-support,3,Operating Systems and You: Becoming a Power User,1,Navigating the System,Use the Windows CLI and Linux shell for file manipulation and navigation
google-it-support,3,Operating Systems and You: Becoming a Power User,1,Navigating the System,Use Windows PowerShell fundamentals including pipelines
google-it-support,3,Operating Systems and You: Becoming a Power User,1,Navigating the System,Search within directories and file contents
google-it-support,3,Operating Systems and You: Becoming a Power User,2,Users and Permissions,Configure user and group settings and manage administrator roles in Windows and Linux
google-it-support,3,Operating Systems and You: Becoming a Power User,2,Users and Permissions,Modify Windows ACLs and Linux permissions including SetUID SetGID and Sticky Bit
google-it-support,3,Operating Systems and You: Becoming a Power User,2,Users and Permissions,Manage mobile device user accounts
google-it-support,3,Operating Systems and You: Becoming a Power User,3,Package and Software Management,Create update and remove software using Windows GUI CLI and Linux shell
google-it-support,3,Operating Systems and You: Becoming a Power User,3,Package and Software Management,Understand archive compression and package dependency management
google-it-support,3,Operating Systems and You: Becoming a Power User,3,Package and Software Management,Install devices and drivers and manage OS updates
google-it-support,3,Operating Systems and You: Becoming a Power User,4,Filesystems,Partition and format a disk drive in both Windows and Linux
google-it-support,3,Operating Systems and You: Becoming a Power User,4,Filesystems,Manage virtual memory swap space and analyze disk usage
google-it-support,3,Operating Systems and You: Becoming a Power User,4,Filesystems,Perform filesystem repair and maintenance
google-it-support,3,Operating Systems and You: Becoming a Power User,5,Process Management,Distinguish between programs and processes and manage process creation and termination
google-it-support,3,Operating Systems and You: Becoming a Power User,5,Process Management,Read and interpret process information and manage signals in Windows and Linux
google-it-support,3,Operating Systems and You: Becoming a Power User,5,Process Management,Monitor system resources and optimize performance
google-it-support,3,Operating Systems and You: Becoming a Power User,6,Operating Systems in Practice,Use remote connection protocols and tools and perform file transfers
google-it-support,3,Operating Systems and You: Becoming a Power User,6,Operating Systems in Practice,Manage virtual machines and monitor system logs
google-it-support,3,Operating Systems and You: Becoming a Power User,6,Operating Systems in Practice,Understand OS deployment methods and mobile device imaging and reset procedures
google-it-support,4,System Administration and IT Infrastructure Services,1,What is System Administration?,Understand roles and responsibilities of system administrators
google-it-support,4,System Administration and IT Infrastructure Services,1,What is System Administration?,Manage user and hardware provisioning processes and routine maintenance
google-it-support,4,System Administration and IT Infrastructure Services,1,What is System Administration?,Understand vendor management troubleshooting risk assessment and change management
google-it-support,4,System Administration and IT Infrastructure Services,2,Network and Infrastructure Services,Configure remote access technologies (SSH FTP SFTP TFTP) and NTP
google-it-support,4,System Administration and IT Infrastructure Services,2,Network and Infrastructure Services,Configure and troubleshoot DNS and DHCP services
google-it-support,4,System Administration and IT Infrastructure Services,2,Network and Infrastructure Services,Manage services in Linux and Windows
google-it-support,4,System Administration and IT Infrastructure Services,3,Software and Platform Services,Configure web server security file services network file storage and print services
google-it-support,4,System Administration and IT Infrastructure Services,3,Software and Platform Services,Understand database servers website troubleshooting and load balancing
google-it-support,4,System Administration and IT Infrastructure Services,3,Software and Platform Services,Evaluate and select cloud infrastructure setups
google-it-support,4,System Administration and IT Infrastructure Services,4,Directory Services,Manage Active Directory architecture including user accounts groups and password policies
google-it-support,4,System Administration and IT Infrastructure Services,4,Directory Services,Create and edit Group Policy Objects and understand Group Policy inheritance
