credential_id,exam,domain_code,domain_name,domain_weight_pct,objective_code,objective_statement
isc2-cc,CC,1.0,Security Principles,26,1.1,Understand the security concepts of information assurance (CIA triad)
isc2-cc,CC,1.0,Security Principles,26,1.2,Understand the risk management process
isc2-cc,CC,1.0,Security Principles,26,1.3,Understand security controls (administrative technical physical)
isc2-cc,CC,1.0,Security Principles,26,1.4,Understand the ISC2 Code of Ethics
isc2-cc,CC,1.0,Security Principles,26,1.5,Understand governance processes (policies standards procedures regulations)
isc2-cc,CC,2.0,Business Continuity Disaster Recovery and Incident Response,10,2.1,Understand business continuity (BC) concepts and importance
isc2-cc,CC,2.0,Business Continuity Disaster Recovery and Incident Response,10,2.2,Understand disaster recovery (DR) concepts
isc2-cc,CC,2.0,Business Continuity Disaster Recovery and Incident Response,10,2.3,Understand incident response concepts (identification containment eradication recovery lessons learned)
isc2-cc,CC,3.0,Access Controls Concepts,22,3.1,Understand physical access controls (locks badge systems guards mantraps)
isc2-cc,CC,3.0,Access Controls Concepts,22,3.2,Understand logical access controls (ACLs RBAC DAC MAC MFA)
isc2-cc,CC,4.0,Network Security,24,4.1,Understand computer networking (OSI TCP/IP topologies protocols)
isc2-cc,CC,4.0,Network Security,24,4.2,Understand network threats and attacks (DoS MitM spoofing)
isc2-cc,CC,4.0,Network Security,24,4.3,Understand network security infrastructure (firewalls IDS/IPS VPN DMZ)
isc2-cc,CC,5.0,Security Operations,18,5.1,Understand data security concepts (encryption at rest in transit data classification)
isc2-cc,CC,5.0,Security Operations,18,5.2,Understand system hardening (patch management configuration baselines)
isc2-cc,CC,5.0,Security Operations,18,5.3,Understand best practice security policies (acceptable use password change management)
isc2-cc,CC,5.0,Security Operations,18,5.4,Understand security awareness training concepts
